,0,1
0,staff_id,label
1,23148,23148
2,23148,23148
3,23148,23148
4,23148,23148
5,23148,23148
6,17698,23371
7,21685,21685
8,17294,17294
9,17294,17294
10,17294,17294
11,17294,17294
12,17294,17294
13,17294,17294
14,17294,17294
15,17294,17294
16,17294,17294
17,10384,10384
18,10384,10384
19,10384,10384
20,10384,10384
21,10384,10384
22,10384,10384
23,10384,10384
24,10384,10384
25,28122,28122
26,17365,17365
27,17365,21685
28,23246,23246
29,23246,23246
30,23246,23246
31,23246,23246
32,23246,23246
33,23246,23246
34,23246,23246
35,23246,23246
36,17821,17821
37,17821,17821
38,17821,17821
39,17821,17821
40,17821,17821
41,17821,17821
42,17821,17821
43,17821,17821
44,17821,17821
45,17821,17821
46,17821,17821
47,17821,17821
48,17821,17821
49,17821,17821
50,17821,17821
51,17821,17821
52,17821,17821
53,17820,17820
54,17820,17820
55,17820,17820
56,17820,17820
57,23434,23434
58,23434,23434
59,23434,23434
60,23434,23434
61,23434,23434
62,17656,17656
63,17656,17656
64,80108,80108
65,80108,80108
66,80108,80108
67,80108,80108
68,80108,80108
69,80108,80108
70,80108,80108
71,80108,80108
72,80108,80108
73,23278,23278
74,23278,23278
75,23278,23278
76,23278,23278
77,23278,23278
78,23377,23377
79,23377,23377
80,23377,23377
81,23377,23377
82,23377,23377
83,23377,23377
84,23377,23377
85,23377,23377
86,23377,23377
87,17772,17772
88,17772,17772
89,17772,17772
90,17772,17772
91,23333,23333
92,23333,23333
93,23333,23333
94,23333,23333
95,23333,23333
96,23333,23333
97,23333,23333
98,23333,23333
99,CB5125,CB5125
100,CB5125,CB5125
101,CB5125,CB5125
102,CB5125,CB5125
103,CB5125,CB5125
104,17328,17328
105,17328,17328
106,17328,17328
107,17328,17328
108,17328,17328
109,17328,17328
110,17269,17269
111,17269,17269
112,17269,17269
113,23171,23171
114,23171,23171
115,23171,23171
116,23435,23371
117,23435,23435
118,23435,23435
119,23435,23435
120,17683,17683
121,17683,17683
122,17683,17683
123,17683,17683
124,17683,17683
125,21684,21684
126,21684,21684
127,21684,21684
128,21684,21684
129,21684,21684
130,21684,21684
131,21684,21684
132,21684,21684
133,21684,21684
134,21684,21684
